year,category,nominee,workers,winner
1977,Best Ethnic or Traditional Recording,Mark Twang,John Hartford (artist),True
1977,Best Gospel Performance (other than soul gospel),Where The Soul Never Dies,The Oak Ridge Boys (artist),True
1977,Best Inspirational Performance,"The Astonishing, Outrageous, Amazing, Incredible, Unbelievable, Different World of Gary S. Paxton",Gary S. Paxton (artist),True
1977,Best Instrumental Arrangement,Leprechaun's Dream,Chick Corea (arranger/artist),True
1977,Best Instrumental Composition,Bellavia,Chuck Mangione (artist/composer),True
1977,Best Jazz Performance by a Big Band,The Ellington Suites,Duke Ellington (artist),True
1977,Best Jazz Performance by a Group,The Leprechaun,Chick Corea (artist),True
1977,Best Jazz Performance by a Soloist (instrumental),Basie And Zoot,Count Basie (soloist),True
1977,Best Jazz Vocal Performance,Fitzgerald And Pass...Again,Ella Fitzgerald (artist),True
1977,Best Latin Recording,Unfinished Masterpiece,Eddie Palmieri (artist),True
1977,Best New Artist of the Year,Starland Vocal Band (artist),,True
1977,Best Opera Recording,Gershwin: Porgy And Bess,"Michael Moorcock (producer), Lorin Maazel (producer), The Cleveland Orchestra (artist)",True
1977,Best Pop Instrumental Performance,Breezin',George Benson (artist),True
1977,"Best Pop Vocal Performance by a Duo, Group or Chorus",If You Leave Me Now,Chicago (artist),True
1977,"Best Pop Vocal Performance, Female",Hasten Down The Wind,Linda Ronstadt (artist),True
1977,Best Producer of the Year,Stevie Wonder (producer),,True
1977,Best R&B Instrumental Performance,Theme From Good King Bad,George Benson (artist),True
1977,"Best R&B Vocal Performance by a Duo, Group or Chorus",You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo (artist), Billy Davis Jr. (artist)",True
1977,"Best R&B Vocal Performance, Female",Sophisticated Lady (She's A Different Lady),Natalie Cole (artist),True
1977,"Best R&B Vocal Performance, Male",I Wish,Stevie Wonder (artist),True
1977,Best Recording for Children,Prokofiev: Peter and the Wolf / Saint-Saens: Carnival of the Animals.,"Hermione Gingold (Narrated by), Karl Böhm (Conducting the Vienna Philharmonic Orchestra)",True
1977,Best Recording for Children,The nominations for Frank Churchill and Leigh Harline were posthumously.,Snow White and the Seven Dwarfs,False
1977,Best Recording for Children,Disney's A Christmas Carol.,"Wayne Allwine (voice of Mickey Mouse), Alan Young (voice of Scrooge McDuck)",False
1977,Best Rhythm & Blues Song,Lowdown,"Boz Scaggs (songwriter), David Paich (songwriter/artist)",True
1977,Best Soul Gospel Performance,How I Got Over,Mahalia Jackson (artist),True
1977,Best Spoken Word Recording,Great American Documents,"James Earl Jones (artist), Henry Fonda (artist), Orson Welles (artist), Helen Hayes (artist)",True
1977,Record of the Year,This Masquerade,"George Benson (artist), Tommy LiPuma (producer)",True
1977,Song of the Year,I Write The Songs,"Barry Manilow (artist), Bruce Johnston (songwriter)",True
1977,Best Country Vocal Performance - Female,All I Can Do.,Dolly Parton,False
1977,Best New Artist,Boston,,False
1978,Album of the Year,Rumours,"Fleetwood Mac (artist/producer), Ken Caillat (producer), Richard Dashut (producer)",True
1978,Best Album Notes,Bing Crosby - A Legendary Performer,"George T. Simon (album notes writer), Bing Crosby (artist)",True
1978,Best Album Package,Simple Dreams,"John Kosh (art director), Linda Ronstadt (artist)",True
1978,Best Album of Original Score written for a Motion Picture or Television Special,Star Wars: Episode IV - A New Hope,John Williams,True
1978,Best Album of Original Score written for a Motion Picture or Television Special,Rocky,Bill Conti,False
1978,Best Album of Original Score written for a Motion Picture or Television Special,You Light Up My Life,Joseph Brooks,False
1978,Best Arrangement Accompanying Vocalist(s),Love Theme From A Star Is Born (Evergreen),"Barbra Streisand (artist), Ian Freebairn-Smith (arranger)",True
1978,Best Arrangement for Voices,New Kid In Town,Eagles (arranger/artist),True
1978,Best Cast Show Album,Annie,"Martin Charnin (composer), Charles Strouse (composer/producer), Larry Morton (producer)",True
1978,Best Chamber Music Performance,Schoenberg: Quartets For Strings (Complete),Juilliard String Quartet (artist),True
1978,Best Choral Performance (other than opera),Verdi: Requiem,"Chicago Symphony Chorus (artist), Chicago Symphony Orchestra (artist)",True
1978,Best Classical Album,Concert Of The Century,"Leonard Bernstein (artist), Dietrich Fischer-Dieskau (artist), Vladimir Horowitz (artist), Yehudi Menuhin (artist), Mstislav Rostropovich (artist), Isaac Stern (artist), Lyndon Woodside (artist), Thomas Frost (producer)",True
1978,Best Classical Orchestral Performance,Mahler: Symphony No. 9 In D,Chicago Symphony Orchestra (artist),True
1978,Best Classical Performance Instrumental Soloist or Soloists (with orchestra),Vivaldi: The Four Seasons,"London Philharmonic Orchestra (artist), Itzhak Perlman (artist)",True
1978,Best Classical Performance Instrumental Soloist or Soloists (without orchestra),"Beethoven: Piano Sonata No. 18 In E Flat/Schumann: Fantasiestucke, Op. 12",Artur Rubinstein (artist),True
1978,Best Classical Vocal Soloist Performance,Bach: Arias,The Academy of St. Martin-in-the-Fields (artist),True
1978,Best Comedy Recording,Let's Get Small,Steve Martin,True
1978,Best Comedy Recording,Are You Serious???,Richard Pryor,False
1978,Best Country Instrumental Performance,Country Instrumentalist Of The Year,Hargus 'Pig' Robbins (artist),True
1978,Best Country Song,Don't It Make My Brown Eyes,"Richard Leigh (songwriter), Crystal Gayle (artist)",True
1978,Best Country Vocal Performance by a Duo or Group,Heaven's Just A Sin Away,The Kendalls (artist),True
1978,"Best Country Vocal Performance, Female",Don't It Make My Brown Eyes Blue,Crystal Gayle (artist),True
1978,"Best Country Vocal Performance, Male",Lucille,Kenny Rogers (artist),True
1978,Best Engineered Recording - Non-Classical,Aja,"Steely Dan (artist), Bill Schnee (engineer), Roger Nichols (engineer), Elliot Scheiner (engineer), Al Schmitt (engineer)",True
1978,"Best Engineered Recording, Classical",Ravel: Bolero,"Georg Solti (conductor), Kenneth Wilkinson (engineer)",True
1978,Best Ethnic or Traditional Recording,Hard Again,Muddy Waters (artist),True
1978,"Best Gospel Performance, Contemporary or Insprirational",Sail On,The Imperials (artist),True
1978,"Best Gospel Performance, Traditional",Just A Little Talk With Jesus,The Oak Ridge Boys (artist),True
1978,Best Inspirational Performance,Home Where I Belong,B.J. Thomas (artist),True
1978,Best Instrumental Arrangement,Nadia's Theme (The Young And The Restless),"Harry Betts (arranger), Perry Botkin Jr. (arranger), Barry De Vorzon (arranger/artist)",True
1978,Best Instrumental Composition,Main Titles from 'Star Wars'.,Star Wars: Episode IV - A New Hope,True
1978,Best Jazz Performance by a Big Band,Prime Time,Count Basie (artist),True
1978,Best Jazz Performance by a Group,The Phil Woods Six - Live From The Showboat,Phil Woods (artist),True
1978,Best Jazz Performance by a Soloist,The Giants,Oscar Peterson (soloist),True
1978,Best Jazz Vocal Performance,Look To The Rainbow,Al Jarreau (artist),True
1978,Best Latin Recording,Dawn,Mongo Santamaria (artist),True
1978,Best New Artist of the Year,Debby Boone (artist),,True
1978,Best Opera Recording,Gershwin: Porgy And Bess,"Houston Grand Opera Orchestra (artist), Thomas Z. Shepard (producer), John De Main (artist)",True
1978,Best Original Score Written for a Motion Picture or a Television Special,Star Wars,John Williams (composer/artist),True
1978,Best Pop Instrumental Performance,Star Wars: Episode IV - A New Hope,John Williams (music arranged and conducted by),True
1978,Best Pop Instrumental Recording,Star Wars,John Williams (artist),True
1978,Best Pop Vocal Performance by a Group,How Deep Is Your Love,The Bee Gees (artist),True
1978,"Best Pop Vocal Performance, Female",Love Theme From A Star Is Born (Evergreen),Barbra Streisand (artist),True
1978,"Best Pop Vocal Performance, Male",Handy Man,James Taylor (artist),True
1978,Best R&B Instrumental Performance,Q,Brothers Johnson (artist),True
1978,Best R&B Song,Last Dance (1978),,True
1978,Best R&B Vocal Performance - Female,Last Dance (1978),Donna Summer (artist),True
1978,"Best R&B Vocal Performance by a Duo, Group or Chorus",Best Of My Love,Emotions (artist),True
1978,"Best R&B Vocal Performance, Female",Don't Leave Me This Way,Thelma Houston (artist),True
1978,"Best R&B Vocal Performance, Male",Unmistakably Lou,Lou Rawls (artist),True
1978,Best Recording for Children,Aren't You Glad You're You (Various Artists),,True
1978,Best Recording for Children,Russell Hoban: The Mouse and his Child,Peter Ustinov,False
1978,Best Rhythm & Blues Song,You Make Me Feel Like Dancing,"Leo Sayer (songwriter), Vini Poncia (songwriter)",True
1978,"Best Soul Gospel Performance, Contemporary",Wonderful!,"Edwin Hawkins (artist), The Edwin Hawkins Singers (artist)",True
1978,"Best Soul Gospel Performance, Traditional",James Cleveland Live At Carnegie Hall,James Cleveland (artist),True
1978,Best Spoken Word Recording,The Belle Of Amherst,Julie Harris (artist),True
1978,Producer of the Year,Peter Asher (producer),,True
1978,Record of the Year,Hotel California,"Bill Szymczyk (producer), Eagles (artist)",True
1978,Song of the Year,Love Theme From A Star Is Born (Evergreen),"Barbra Streisand (songwriter/artist), Paul Williams (songwriter)",True
1978,Best Country Vocal Performance - Female,Higher and Higher.,Dolly Parton,False
1978,Best New Artist,Foreigner,,False
1978,Best Pop Vocal Performance - Female,Here You Come Again.,Dolly Parton,False
1979,Album of the Year,Saturday Night Fever - Soundtrack (Various Artists),"Thomas J. Valentino (producer), David Shire (producer), William Salter (producer), Karl Richardson (producer), Freddie Perren (producer), Bill Oakes (producer), Bobby Martin (producer), Arif Mardin (producer), Ralph MacDonald (producer), Ron Kersey (producer), Albhy Galuten (producer), The Bee Gees (artist), Broadway Eddie (producer), Harry Wayne Casey (producer), Richard Finch (producer)",True
1979,Best Album Notes,"A Bing Crosby Collection, Vols. I & II",Mike Brooks (album notes writer),True
1979,Best Album Package,Boys In The Trees,"Tony Lane (art director), Johnny Lee (art director), Carly Simon (artist)",True
1979,Best Album of Original Score Written for a Motion Picture or Television Special,Pilot (#1.0).,Close Encounters of the Third Kind,True
1979,Best Album of Original Score Written for a Motion Picture or Television Special,Holocaust,Morton Gould,False
1979,Best Album of Original Score Written for a Motion Picture or Television Special,Revenge of the Pink Panther,"Henry Mancini (composer), Leslie Bricusse (lyricist)",False
1979,Best Album of Original Score Written for a Motion Picture or a Television Special,Close Encounters Of The Third Kind,John Williams (composer),True
1979,Best Arrangement Accompanying Vocal(s),Got To Get You Into My Life,"Earth Wind & Fire (artist), Maurice White (arranger)",True
1979,Best Arrangement for Voices,Stayin' Alive,The Bee Gees (artist),True
1979,Best Cast Show Album,Ain't Misbehavin' (Various Artists),Thomas Z. Shepard (producer),True
1979,Best Chamber Music Performance,Beethoven: Sonatas For Violin And Piano,"Vladimir Ashkenazy (artist), Itzhak Perlman (artist)",True
1979,"Best Choral Performance, Classical (other than opera)",Beethoven: Missa Solemnis,"Chicago Symphony Chorus (artist), Georg Solti (conductor), Chicago Symphony Orchestra (artist)",True
1979,Best Classical Album,Brahms: Concerto For Violin In D,"Carlo Maria Giulini (artist), Itzhak Perlman (artist), Christopher Bishop (producer)",True
1979,Best Classical Orchestral Performance,Beethoven: Symphonies (9) (Complete),Herbert von Karajan (conductor),True
1979,"Best Classical Performance, Instrumental Soloist(s) (with orchestra)",Rachmaninoff: Con. No. 3 In D Minor For Piano (Horowitz Golden Jubilee),"New York Philharmonic (artist), Vladimir Horowitz (artist)",True
1979,"Best Classical Performance, Instrumental Soloist(s) (without orchestra)",The Horowitz Concerts 1977/78,Vladimir Horowitz (artist),True
1979,Best Classical Vocal Soloist Performance,Hits From Lincoln Center,Luciano Pavarotti (artist),True
1979,Best Comedy Recording,A Wild and Crazy Guy,Steve Martin,True
1979,Best Comedy Recording,The Wizard Of Comedy.,Richard Pryor,False
1979,Best Country Instrumental Performance,One O'Clock Jump,Asleep at the Wheel (artist),True
1979,Best Country Song,The Gambler,"Don Schlitz (songwriter), Kenny Rogers (artist)",True
1979,Best Country Vocal Performance - Female,Here You Come Again.,Dolly Parton,True
1979,Best Country Vocal Performance by a Duo or Group,Mamas Don't Let Your Babies Grow Up To Be Cowboys,"Waylon Jennings (artist), Willie Nelson (artist)",True
1979,"Best Country Vocal Performance, Female",Here You Come Again,Dolly Parton (artist),True
1979,"Best Country Vocal Performance, Male",Georgia On My Mind,Willie Nelson (artist),True
1979,Best Engineered Recording - Non-Classical,FM (No Static At All),"Roger Nichols (engineer), Al Schmitt (engineer)",True
1979,"Best Engineered Recording, Classical",Varese: Ameriques/Arcana/Ionisation (Boulez Conducts Varese),"Pierre Boulez (conductor), Rudy Ray Moore (engineer), Edward T. Graham (artist), Arthur Kendy (engineer)",True
1979,Best Ethnic or Traditional Recording,I'm Ready,Muddy Waters (artist),True
1979,"Best Gospel Performance, Contemporary or Inspirational",What A Friend,Larry Hart (artist),True
1979,"Best Gospel Performance, Traditional",Refreshing,The Happy Goodman Family (artist),True
1979,Best Historical Repackage Album,"The Lester Young Story, Vol. 3",Lester Young (artist),True
1979,Best Inspirational Performance,Happy Man,B.J. Thomas (artist),True
1979,Best Instrumental Arrangement,The Wiz Main Title - Overture Part One,"Robert Freedman (arranger), Quincy Jones (arranger)",True
1979,Best Instrumental Composition,Theme From Close Encounters Of The Third Kind,John Williams (artist),True
1979,"Best Jazz Instrumental Performance, Big Band",Live In Munich,"Mel Lewis (artist), Thad Jones (artist)",True
1979,"Best Jazz Instrumental Performance, Group",Friends,Chick Corea (artist),True
1979,"Best Jazz Instrumental Performance, Soloist",Montreaux '77 - Oscar Peterson Jam,Oscar Peterson (soloist),True
1979,Best Jazz Vocal Performance,All Fly Home,Al Jarreau (artist),True
1979,Best Latin Recording,Homenaje a Beny More,Tito Puente (artist),True
1979,Best New Artist,A Taste of Honey (artist),,True
1979,Best Opera Recording,Lehar: The Merry Widow,"New York City Opera Orchestra (artist), Julius Rudel (conductor), John Coveney (producer), George Sponhaltz (producer)",True
1979,Best Pop Instrumental Performance,Children Of Sanchez,Chuck Mangione (artist),True
